Subject,Start Date,Start Time,End Date,End Time,Description,Location
-SV-139 for/sem,2015-01-26,08:15,2015-01-26,12:00,Cruickshank Jørn, Trysnes Irene,CK 46 215 sem
-SV-138 for/sem,2015-01-27,08:15,2015-01-27,12:00,Trysnes Irene, Westersjø Martin,CK 46 215 sem
-SV-139/SV-138 sem/gr,2015-01-28,08:15,2015-01-28,12:00,,CK 46 215 sem
-SV-138/SV-139 sem/gr,2015-01-28,08:15,2015-01-28,12:00,,CK 46 215 sem
-SV-139 for/sem,2015-01-29,08:15,2015-01-29,12:00,Cruickshank Jørn, Trysnes Irene,CK 46 215 sem
-SV-138 for/sem,2015-01-30,08:15,2015-01-30,12:00,Trysnes Irene, Westersjø Martin,CK 46 215 sem
-SV-139 for/sem,2015-02-02,08:15,2015-02-02,12:00,Cruickshank Jørn, Trysnes Irene,CK 46 215 sem
-SV-138 for/sem,2015-02-03,08:15,2015-02-03,12:00,Trysnes Irene, Westersjø Martin,CK 46 215 sem
-SV-139/SV-138 sem/gr,2015-02-04,08:15,2015-02-04,12:00,,CK 46 215 sem
-SV-138/SV-139 sem/gr,2015-02-04,08:15,2015-02-04,12:00,,CK 46 215 sem
-SV-139 for/sem,2015-02-05,08:15,2015-02-05,12:00,Cruickshank Jørn, Trysnes Irene,CK 46 215 sem
-SV-138 for/sem,2015-02-06,08:15,2015-02-06,12:00,Trysnes Irene, Westersjø Martin,CK 46 215 sem
-SV-139 for/sem,2015-02-09,08:15,2015-02-09,12:00,Cruickshank Jørn, Trysnes Irene,CK 46 215 sem
-SV-138 for/sem,2015-02-10,08:15,2015-02-10,12:00,Trysnes Irene, Westersjø Martin,CK 46 215 sem
-SV-139/SV-138 sem/gr,2015-02-11,08:15,2015-02-11,12:00,,CK 46 215 sem
-SV-138/SV-139 sem/gr,2015-02-11,08:15,2015-02-11,12:00,,CK 46 215 sem
-SV-139 for/sem,2015-02-12,08:15,2015-02-12,12:00,Cruickshank Jørn, Trysnes Irene,CK 46 215 sem
-SV-138 for/sem,2015-02-13,08:15,2015-02-13,12:00,Trysnes Irene, Westersjø Martin,CK 46 215 sem
-SV-139 for/sem,2015-02-23,08:15,2015-02-23,12:00,Cruickshank Jørn, Trysnes Irene,CK 46 215 sem
-SV-138 for/sem,2015-02-24,08:15,2015-02-24,12:00,Trysnes Irene, Westersjø Martin,CK 46 215 sem
-SV-139/SV-138 sem/gr,2015-02-25,08:15,2015-02-25,12:00,,CK 46 215 sem
-SV-138/SV-139 sem/gr,2015-02-25,08:15,2015-02-25,12:00,,CK 46 215 sem
-SV-139 for/sem,2015-02-26,08:15,2015-02-26,12:00,Cruickshank Jørn, Trysnes Irene,CK 46 215 sem
-SV-138 for/sem,2015-02-27,08:15,2015-02-27,12:00,Trysnes Irene, Westersjø Martin,CK 46 215 sem
-SV-139 for/sem,2015-03-16,08:15,2015-03-16,12:00,Cruickshank Jørn, Trysnes Irene,CK 46 215 sem
-SV-138 for/sem,2015-03-17,08:15,2015-03-17,12:00,Trysnes Irene, Westersjø Martin,CK 46 215 sem
-SV-139/SV-138 sem/gr,2015-03-18,08:15,2015-03-18,12:00,,CK 46 215 sem
-SV-138/SV-139 sem/gr,2015-03-18,08:15,2015-03-18,12:00,,CK 46 215 sem
-SV-139 for/sem,2015-03-19,08:15,2015-03-19,12:00,Cruickshank Jørn, Trysnes Irene,CK 46 215 sem
-SV-138 for/sem,2015-03-20,08:15,2015-03-20,12:00,Trysnes Irene, Westersjø Martin,CK 46 215 sem
-SV-139 for/sem,2015-03-23,08:15,2015-03-23,12:00,Cruickshank Jørn, Trysnes Irene,CK 46 215 sem
-SV-138 for/sem,2015-03-24,08:15,2015-03-24,12:00,Trysnes Irene, Westersjø Martin,CK 46 215 sem
-SV-139/SV-138 sem/gr,2015-03-25,08:15,2015-03-25,12:00,,CK 46 215 sem
-SV-138/SV-139 sem/gr,2015-03-25,08:15,2015-03-25,12:00,,CK 46 215 sem
-SV-139 for/sem,2015-03-26,08:15,2015-03-26,12:00,Cruickshank Jørn, Trysnes Irene,CK 46 215 sem
-SV-138 for/sem,2015-03-27,08:15,2015-03-27,12:00,Trysnes Irene, Westersjø Martin,CK 46 215 sem
-SV-138 for/sem,2015-04-07,08:15,2015-04-07,12:00,Trysnes Irene, Westersjø Martin,CK 46 215 sem
-SV-139/SV-138 sem/gr,2015-04-08,08:15,2015-04-08,12:00,,CK 46 215 sem
-SV-138/SV-139 sem/gr,2015-04-08,08:15,2015-04-08,12:00,,CK 46 215 sem
-SV-139 for/sem,2015-04-09,08:15,2015-04-09,12:00,Cruickshank Jørn, Trysnes Irene,CK 46 215 sem
-SV-138 for/sem,2015-04-10,08:15,2015-04-10,12:00,Trysnes Irene, Westersjø Martin,CK 46 215 sem
-SV-139 for/sem,2015-04-13,08:15,2015-04-13,12:00,Cruickshank Jørn, Trysnes Irene,CK 46 215 sem
-SV-138 for/sem,2015-04-14,08:15,2015-04-14,12:00,Trysnes Irene, Westersjø Martin,CK 46 215 sem
-SV-139/SV-138 sem/gr,2015-04-15,08:15,2015-04-15,12:00,,CK 46 215 sem
-SV-138/SV-139 sem/gr,2015-04-15,08:15,2015-04-15,12:00,,CK 46 215 sem
-SV-138 uke 16 m /SO-202/SV-142,2015-04-16,09:15,2015-04-16,14:00,,CK B1 007 aud
-SV-138 uke 16 m /SO-202/SV-142 gr,2015-04-16,12:15,2015-04-16,13:00,,CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027
-SV-138 for/sem,2015-04-17,08:15,2015-04-17,12:00,Trysnes Irene, Westersjø Martin,CK 46 215 sem
-SV-139 for/sem,2015-04-20,08:15,2015-04-20,12:00,Cruickshank Jørn, Trysnes Irene,CK 46 215 sem
-SV-138 for/sem,2015-04-21,08:15,2015-04-21,12:00,Trysnes Irene, Westersjø Martin,CK 46 215 sem
-SV-139/SV-138 sem/gr,2015-04-22,08:15,2015-04-22,12:00,,CK 46 215 sem
-SV-138/SV-139 sem/gr,2015-04-22,08:15,2015-04-22,12:00,,CK 46 215 sem
-SV-139 for/sem,2015-04-23,08:15,2015-04-23,12:00,Cruickshank Jørn, Trysnes Irene,CK 46 215 sem
-SV-138 for/sem,2015-04-24,08:15,2015-04-24,12:00,Trysnes Irene, Westersjø Martin,CK 46 215 sem
-SV-139 for/sem,2015-04-27,08:15,2015-04-27,12:00,Cruickshank Jørn, Trysnes Irene,CK 46 215 sem
-SV-138 for/sem,2015-04-28,08:15,2015-04-28,12:00,Trysnes Irene, Westersjø Martin,CK 46 215 sem
-SV-139/SV-138 sem/gr,2015-04-29,08:15,2015-04-29,12:00,,CK 46 215 sem
-SV-138/SV-139 sem/gr,2015-04-29,08:15,2015-04-29,12:00,,CK 46 215 sem
-SV-139 for/sem,2015-04-30,08:15,2015-04-30,12:00,Cruickshank Jørn, Trysnes Irene,CK 46 215 sem
-SV-139 for/sem,2015-05-04,08:15,2015-05-04,12:00,Cruickshank Jørn, Trysnes Irene,CK 46 215 sem
-SV-138 for/sem,2015-05-05,08:15,2015-05-05,12:00,Trysnes Irene, Westersjø Martin,CK 46 215 sem
-SV-139/SV-138 sem/gr,2015-05-06,08:15,2015-05-06,12:00,,CK 46 215 sem
-SV-138/SV-139 sem/gr,2015-05-06,08:15,2015-05-06,12:00,,CK 46 215 sem
-SV-139 for/sem,2015-05-07,08:15,2015-05-07,12:00,Cruickshank Jørn, Trysnes Irene,CK 46 215 sem
-SV-138 for/sem,2015-05-08,08:15,2015-05-08,12:00,Trysnes Irene, Westersjø Martin,CK 46 215 sem
