Subject,Start Date,Start Time,End Date,End Time,Description,Location
-KOM109 lab 5,2015-02-12,14:15,2015-02-12,16:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 for,2015-02-17,10:15,2015-02-17,12:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK B3 007 aud 
-KOM109 lab 1,2015-02-17,12:15,2015-02-17,14:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 2,2015-02-17,14:15,2015-02-17,16:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM112 for,2015-02-18,10:15,2015-02-18,12:00,Birkeland Nils Rune, Rambø Gro-Renee,CK B2 004 aud 
-KOM112 gr,2015-02-18,12:15,2015-02-18,14:00,Birkeland Nils Rune, Rambø Gro-Renee,CK 50 110, CK 50 114a, CK 50 114b, CK 50 115a, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116c, CK 50 116d
-KOM109 lab 3,2015-02-19,09:15,2015-02-19,11:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 4,2015-02-19,12:15,2015-02-19,14:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 5,2015-02-19,14:15,2015-02-19,16:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM112 prosjektdag uke 8,12,13,2015-02-20,09:15,2015-02-20,16:00,Birkeland Nils Rune, Rambø Gro-Renee,CK B3 001 aud
-KOM109 for,2015-03-03,10:15,2015-03-03,12:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK B3 007 aud 
-KOM109 lab 1,2015-03-03,12:15,2015-03-03,14:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 2,2015-03-03,14:15,2015-03-03,16:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM112 for,2015-03-04,10:15,2015-03-04,12:00,Birkeland Nils Rune, Rambø Gro-Renee,CK B2 004 aud 
-KOM112 gr,2015-03-04,12:15,2015-03-04,14:00,Birkeland Nils Rune, Rambø Gro-Renee,CK 50 110, CK 50 114a, CK 50 114b, CK 50 115a, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116c, CK 50 116d
-KOM109 lab 3,2015-03-05,09:15,2015-03-05,11:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 4,2015-03-05,12:15,2015-03-05,14:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 5,2015-03-05,14:15,2015-03-05,16:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 for,2015-03-10,10:15,2015-03-10,12:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK B3 007 aud 
-KOM109 lab 1,2015-03-10,12:15,2015-03-10,14:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 2,2015-03-10,14:15,2015-03-10,16:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 3,2015-03-12,09:15,2015-03-12,11:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 4,2015-03-12,12:15,2015-03-12,14:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 5,2015-03-12,14:15,2015-03-12,16:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 for,2015-03-17,10:15,2015-03-17,12:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK B3 007 aud 
-KOM109 lab 1,2015-03-17,12:15,2015-03-17,14:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 2,2015-03-17,14:15,2015-03-17,16:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM112 for,2015-03-18,10:15,2015-03-18,12:00,Birkeland Nils Rune, Rambø Gro-Renee,CK B2 004 aud 
-KOM112 gr,2015-03-18,12:15,2015-03-18,14:00,Birkeland Nils Rune, Rambø Gro-Renee,CK 50 110, CK 50 114a, CK 50 114b, CK 50 115a, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116c, CK 50 116d
-KOM109 lab 3,2015-03-19,09:15,2015-03-19,11:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 4,2015-03-19,12:15,2015-03-19,14:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 5,2015-03-19,14:15,2015-03-19,16:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM112 prosjektdag uke 8,12,13,2015-03-20,09:15,2015-03-20,16:00,Birkeland Nils Rune, Rambø Gro-Renee,CK B3 001 aud
-KOM109 for,2015-03-24,10:15,2015-03-24,12:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK B3 007 aud 
-KOM109 lab 1,2015-03-24,12:15,2015-03-24,14:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 2,2015-03-24,14:15,2015-03-24,16:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM112 for,2015-03-25,10:15,2015-03-25,12:00,Birkeland Nils Rune, Rambø Gro-Renee,CK B2 004 aud 
-KOM112 gr,2015-03-25,12:15,2015-03-25,14:00,Birkeland Nils Rune, Rambø Gro-Renee,CK 50 110, CK 50 114a, CK 50 114b, CK 50 115a, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116c, CK 50 116d
-KOM109 lab 3,2015-03-26,09:15,2015-03-26,11:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 4,2015-03-26,12:15,2015-03-26,14:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 5,2015-03-26,14:15,2015-03-26,16:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM112 prosjektdag uke 8,12,13,2015-03-27,09:15,2015-03-27,16:00,Birkeland Nils Rune, Rambø Gro-Renee,CK B3 001 aud
-KOM112 for,2015-04-08,10:15,2015-04-08,12:00,Birkeland Nils Rune, Rambø Gro-Renee,CK B2 004 aud 
-KOM112 gr,2015-04-08,12:15,2015-04-08,14:00,Birkeland Nils Rune, Rambø Gro-Renee,CK 50 110, CK 50 114a, CK 50 114b, CK 50 115a, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116c, CK 50 116d
-KOM109 for,2015-04-14,10:15,2015-04-14,12:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK B3 007 aud 
-KOM109 lab 1,2015-04-14,12:15,2015-04-14,14:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 2,2015-04-14,14:15,2015-04-14,16:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM112 for,2015-04-15,10:15,2015-04-15,12:00,Birkeland Nils Rune, Rambø Gro-Renee,CK B2 004 aud 
-KOM112 gr,2015-04-15,12:15,2015-04-15,14:00,Birkeland Nils Rune, Rambø Gro-Renee,CK 50 110, CK 50 114a, CK 50 114b, CK 50 115a, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116c, CK 50 116d
-KOM109 lab 3,2015-04-16,09:15,2015-04-16,11:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 4,2015-04-16,12:15,2015-04-16,14:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 5,2015-04-16,14:15,2015-04-16,16:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 for,2015-04-21,10:15,2015-04-21,12:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK B3 007 aud 
-KOM109 lab 1,2015-04-21,12:15,2015-04-21,14:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 2,2015-04-21,14:15,2015-04-21,16:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM112 for,2015-04-22,10:15,2015-04-22,12:00,Birkeland Nils Rune, Rambø Gro-Renee,CK B2 004 aud 
-KOM112 gr,2015-04-22,12:15,2015-04-22,14:00,Birkeland Nils Rune, Rambø Gro-Renee,CK 50 110, CK 50 114a, CK 50 114b, CK 50 115a, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116c, CK 50 116d
-KOM109 lab 3,2015-04-23,09:15,2015-04-23,11:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 4,2015-04-23,12:15,2015-04-23,14:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 5,2015-04-23,14:15,2015-04-23,16:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 for uke 18,2015-04-28,08:15,2015-04-28,10:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK B3 007 aud 
-KOM109 for,2015-04-28,10:15,2015-04-28,12:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK B3 007 aud 
-KOM109 lab 1,2015-04-28,12:15,2015-04-28,14:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 2,2015-04-28,14:15,2015-04-28,16:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM112 for,2015-04-29,10:15,2015-04-29,12:00,Birkeland Nils Rune, Rambø Gro-Renee,CK B2 004 aud 
-KOM112 gr,2015-04-29,12:15,2015-04-29,14:00,Birkeland Nils Rune, Rambø Gro-Renee,CK 50 110, CK 50 114a, CK 50 114b, CK 50 115a, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116c, CK 50 116d
-KOM109 lab 3,2015-04-30,09:15,2015-04-30,11:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 4,2015-04-30,12:15,2015-04-30,14:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 5,2015-04-30,14:15,2015-04-30,16:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 for,2015-05-05,10:15,2015-05-05,12:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK B3 007 aud 
-KOM109 lab 1,2015-05-05,12:15,2015-05-05,14:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 2,2015-05-05,14:15,2015-05-05,16:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM112 for,2015-05-06,10:15,2015-05-06,12:00,Birkeland Nils Rune, Rambø Gro-Renee,CK B2 004 aud 
-KOM112 gr,2015-05-06,12:15,2015-05-06,14:00,Birkeland Nils Rune, Rambø Gro-Renee,CK 50 110, CK 50 114a, CK 50 114b, CK 50 115a, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116c, CK 50 116d
-KOM109 lab 3,2015-05-07,09:15,2015-05-07,11:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 4,2015-05-07,12:15,2015-05-07,14:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 5,2015-05-07,14:15,2015-05-07,16:00,Andresen Kenneth, Engebretsen Martin, Heddeland Svein, Hodøl Hans-Olav,CK F1 021 lab-
