Subject,Start Date,Start Time,End Date,End Time,Description,Location
MAS402/Forel/01,2015-01-05,08:15,2015-01-05,12:00,Hansen Michael R.,CG-A2 021 klasserom
MAS402/Øv/01,2015-01-05,12:15,2015-01-05,16:00,Hansen Michael R.,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS400/Forel/01,2015-03-05,08:15,2015-03-05,12:00,Hovland Geir, Iskandarani Yousef,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS400/Øv/01,2015-03-05,12:15,2015-03-05,16:00,Hovland Geir, Iskandarani Yousef,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS401/Forel/01,2015-03-09,09:15,2015-03-09,17:00,Midtgård Ole-Morten,CG-A2 021 klasserom
MAS403/Øv/01 uke 10-19 prosjekt,2015-03-10,08:15,2015-03-10,12:00,Ebbesen, Morten,CG-D2 024 lab mekatronikk/el.kraft (32)
MA-417/Forel/01,2015-03-10,12:15,2015-03-10,14:00,Rogovchenko Svitlana,CG-A2 123 klasserom (fjernunderv.)
MA-417/Øv/01,2015-03-10,14:15,2015-03-10,16:00,Rogovchenko Svitlana,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS400/Forel/01,2015-03-12,08:15,2015-03-12,12:00,Hovland Geir, Iskandarani Yousef,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS400/Øv/01,2015-03-12,12:15,2015-03-12,16:00,Hovland Geir, Iskandarani Yousef,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS402/Forel/01,2015-03-16,08:15,2015-03-16,12:00,Hansen Michael R.,CG-A2 021 klasserom
MAS402/Øv/01,2015-03-16,12:15,2015-03-16,16:00,Hansen Michael R.,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS403/Øv/01 uke 10-19 prosjekt,2015-03-17,08:15,2015-03-17,12:00,Ebbesen, Morten,CG-D2 024 lab mekatronikk/el.kraft (32)
MA-417/Forel/01,2015-03-17,12:15,2015-03-17,14:00,Rogovchenko Svitlana,CG-A2 123 klasserom (fjernunderv.)
MA-417/Øv/01,2015-03-17,14:15,2015-03-17,16:00,Rogovchenko Svitlana,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS400/Forel/01,2015-03-19,08:15,2015-03-19,12:00,Hovland Geir, Iskandarani Yousef,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS400/Øv/01,2015-03-19,12:15,2015-03-19,16:00,Hovland Geir, Iskandarani Yousef,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS401/Forel/01,2015-03-23,09:15,2015-03-23,17:00,Midtgård Ole-Morten,CG-A2 021 klasserom
MAS403/Øv/01 uke 10-19 prosjekt,2015-03-24,08:15,2015-03-24,12:00,Ebbesen, Morten,CG-D2 024 lab mekatronikk/el.kraft (32)
MA-417/Forel/01,2015-03-24,12:15,2015-03-24,14:00,Rogovchenko Svitlana,CG-A2 123 klasserom (fjernunderv.)
MA-417/Øv/01,2015-03-24,14:15,2015-03-24,16:00,Rogovchenko Svitlana,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS400/Forel/01,2015-03-26,08:15,2015-03-26,12:00,Hovland Geir, Iskandarani Yousef,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS400/Øv/01,2015-03-26,12:15,2015-03-26,16:00,Hovland Geir, Iskandarani Yousef,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS403/Øv/01 uke 10-19 prosjekt,2015-04-07,08:15,2015-04-07,12:00,Ebbesen, Morten,CG-D2 024 lab mekatronikk/el.kraft (32)
MA-417/Forel/01,2015-04-07,12:15,2015-04-07,14:00,Rogovchenko Svitlana,CG-A2 123 klasserom (fjernunderv.)
MA-417/Øv/01,2015-04-07,14:15,2015-04-07,16:00,Rogovchenko Svitlana,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS400/Forel/01,2015-04-09,08:15,2015-04-09,12:00,Hovland Geir, Iskandarani Yousef,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS400/Øv/01,2015-04-09,12:15,2015-04-09,16:00,Hovland Geir, Iskandarani Yousef,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS402/Forel/01,2015-04-13,08:15,2015-04-13,12:00,Hansen Michael R.,CG-A2 021 klasserom
MAS402/Øv/01,2015-04-13,12:15,2015-04-13,16:00,Hansen Michael R.,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS403/Øv/01 uke 10-19 prosjekt,2015-04-14,08:15,2015-04-14,12:00,Ebbesen, Morten,CG-D2 024 lab mekatronikk/el.kraft (32)
MA-417/Forel/01,2015-04-14,12:15,2015-04-14,14:00,Rogovchenko Svitlana,CG-A2 123 klasserom (fjernunderv.)
MA-417/Øv/01,2015-04-14,14:15,2015-04-14,16:00,Rogovchenko Svitlana,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS400/Forel/01,2015-04-16,08:15,2015-04-16,12:00,Hovland Geir, Iskandarani Yousef,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS400/Øv/01,2015-04-16,12:15,2015-04-16,16:00,Hovland Geir, Iskandarani Yousef,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS401/Forel/01,2015-04-20,09:15,2015-04-20,17:00,Midtgård Ole-Morten,CG-A2 021 klasserom
MAS403/Øv/01 uke 10-19 prosjekt,2015-04-21,08:15,2015-04-21,12:00,Ebbesen, Morten,CG-D2 024 lab mekatronikk/el.kraft (32)
MA-417/Forel/01,2015-04-21,12:15,2015-04-21,14:00,Rogovchenko Svitlana,CG-A2 123 klasserom (fjernunderv.)
MA-417/Øv/01,2015-04-21,14:15,2015-04-21,16:00,Rogovchenko Svitlana,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS400/Forel/01,2015-04-23,08:15,2015-04-23,12:00,Hovland Geir, Iskandarani Yousef,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS400/Øv/01,2015-04-23,12:15,2015-04-23,16:00,Hovland Geir, Iskandarani Yousef,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS402/Forel/01,2015-04-27,08:15,2015-04-27,12:00,Hansen Michael R.,CG-A2 021 klasserom
MAS402/Øv/01,2015-04-27,12:15,2015-04-27,16:00,Hansen Michael R.,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS403/Øv/01 uke 10-19 prosjekt,2015-04-28,08:15,2015-04-28,12:00,Ebbesen, Morten,CG-D2 024 lab mekatronikk/el.kraft (32)
MA-417/Forel/01,2015-04-28,12:15,2015-04-28,14:00,Rogovchenko Svitlana,CG-A2 123 klasserom (fjernunderv.)
MA-417/Øv/01,2015-04-28,14:15,2015-04-28,16:00,Rogovchenko Svitlana,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS400/Forel/01,2015-04-30,08:15,2015-04-30,12:00,Hovland Geir, Iskandarani Yousef,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS400/Øv/01,2015-04-30,12:15,2015-04-30,16:00,Hovland Geir, Iskandarani Yousef,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS401/Forel/01,2015-05-04,09:15,2015-05-04,17:00,Midtgård Ole-Morten,CG-A2 021 klasserom
MAS403/Øv/01 uke 10-19 prosjekt,2015-05-05,08:15,2015-05-05,12:00,Ebbesen, Morten,CG-D2 024 lab mekatronikk/el.kraft (32)
MA-417/Forel/01,2015-05-05,12:15,2015-05-05,14:00,Rogovchenko Svitlana,CG-A2 123 klasserom (fjernunderv.)
MA-417/Øv/01,2015-05-05,14:15,2015-05-05,16:00,Rogovchenko Svitlana,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS400/Forel/01,2015-05-07,08:15,2015-05-07,12:00,Hovland Geir, Iskandarani Yousef,CG-D2 024 lab mekatronikk/el.kraft (32)
MAS400/Øv/01,2015-05-07,12:15,2015-05-07,16:00,Hovland Geir, Iskandarani Yousef,CG-D2 024 lab mekatronikk/el.kraft (32)
