Subject,Start Date,Start Time,End Date,End Time,Description,Location
DAT219/Forel/01 uke 2-11,2015-01-19,12:15,2015-01-19,14:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT219/labøv/01 uke 2-19,2015-01-19,14:15,2015-01-19,16:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT202/labøv/01,2015-01-20,08:15,2015-01-20,12:00,Snaprud Mikael, Øysæd Hallvard,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
MA-155/Forel/01/Stat - Streaming,2015-01-20,12:15,2015-01-20,14:00,Nyberg Svein O.,CG-C2 036 auditorium (300), CG-C2 041 auditorium (80)
DAT202/Forel/02,2015-01-20,14:15,2015-01-20,16:00,Snaprud Mikael, Øysæd Hallvard,CG-C2 040 auditorium (80)
DAT202/Forel/01,2015-01-21,10:15,2015-01-21,12:00,Snaprud Mikael, Øysæd Hallvard,CG-C2 041 auditorium (80)
MA-155/Forel/02/Stat - Streaming,2015-01-21,12:15,2015-01-21,14:00,Nyberg Svein O.,CG-C2 036 auditorium (300), CG-C2 041 auditorium (80)
MA-155/Øv/01 DATA,2015-01-21,14:15,2015-01-21,16:00,Nyberg Svein O.,CG-A2 046 klasserom, CG-A2 047 klasserom
DAT219/Forel/02 uke 2-11,2015-01-22,10:15,2015-01-22,12:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT219/labøv/02 uke 2-19,2015-01-22,12:15,2015-01-22,14:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
MA-155/Forel/Øv/01/Økonomi,2015-01-23,14:15,2015-01-23,16:00,Aas-Laland Yvonne Kathrine,CG-C2 036 auditorium (300), CG-C4 055 auditorium (60)
DAT219/Forel/01 uke 2-11,2015-01-26,12:15,2015-01-26,14:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT219/labøv/01 uke 2-19,2015-01-26,14:15,2015-01-26,16:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT202/labøv/01,2015-01-27,08:15,2015-01-27,12:00,Snaprud Mikael, Øysæd Hallvard,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
MA-155/Forel/01/Stat - Streaming,2015-01-27,12:15,2015-01-27,14:00,Nyberg Svein O.,CG-C2 036 auditorium (300), CG-C2 041 auditorium (80)
DAT202/Forel/02,2015-01-27,14:15,2015-01-27,16:00,Snaprud Mikael, Øysæd Hallvard,CG-C2 040 auditorium (80)
DAT202/Forel/01,2015-01-28,10:15,2015-01-28,12:00,Snaprud Mikael, Øysæd Hallvard,CG-C2 041 auditorium (80)
MA-155/Forel/02/Stat - Streaming,2015-01-28,12:15,2015-01-28,14:00,Nyberg Svein O.,CG-C2 036 auditorium (300), CG-C2 041 auditorium (80)
MA-155/Øv/01 DATA,2015-01-28,14:15,2015-01-28,16:00,Nyberg Svein O.,CG-A2 046 klasserom, CG-A2 047 klasserom
