Subject,Start Date,Start Time,End Date,End Time,Description,Location
MA-155/Forel/Øv/01/Økonomi,2015-04-24,14:15,2015-04-24,16:00,Aas-Laland Yvonne Kathrine,CG-C2 036 auditorium (300), CG-C4 055 auditorium (60)
DAT219/labøv/03 uke 12-19,2015-04-27,12:15,2015-04-27,14:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT219/labøv/01 uke 2-19,2015-04-27,14:15,2015-04-27,16:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT202/labøv/01,2015-04-28,08:15,2015-04-28,12:00,Snaprud Mikael, Øysæd Hallvard,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
MA-155/Forel/01/Stat - Streaming,2015-04-28,12:15,2015-04-28,14:00,Nyberg Svein O.,CG-C2 036 auditorium (300), CG-C2 041 auditorium (80)
DAT202/Forel/02,2015-04-28,14:15,2015-04-28,16:00,Snaprud Mikael, Øysæd Hallvard,CG-C2 040 auditorium (80)
DAT202/Forel/01,2015-04-29,10:15,2015-04-29,12:00,Snaprud Mikael, Øysæd Hallvard,CG-C2 041 auditorium (80)
MA-155/Forel/02/Stat - Streaming,2015-04-29,12:15,2015-04-29,14:00,Nyberg Svein O.,CG-C2 036 auditorium (300), CG-C2 041 auditorium (80)
MA-155/Øv/01 DATA,2015-04-29,14:15,2015-04-29,16:00,Nyberg Svein O.,CG-A2 046 klasserom, CG-A2 047 klasserom
DAT219/labøv/04 uke 12-19,2015-04-30,10:15,2015-04-30,12:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT219/labøv/02 uke 2-19,2015-04-30,12:15,2015-04-30,14:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT219/labøv/03 uke 12-19,2015-05-04,12:15,2015-05-04,14:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT219/labøv/01 uke 2-19,2015-05-04,14:15,2015-05-04,16:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT202/labøv/01,2015-05-05,08:15,2015-05-05,12:00,Snaprud Mikael, Øysæd Hallvard,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
MA-155/Forel/01/Stat - Streaming,2015-05-05,12:15,2015-05-05,14:00,Nyberg Svein O.,CG-C2 036 auditorium (300), CG-C2 041 auditorium (80)
DAT202/Forel/02,2015-05-05,14:15,2015-05-05,16:00,Snaprud Mikael, Øysæd Hallvard,CG-C2 040 auditorium (80)
DAT202/Forel/01,2015-05-06,10:15,2015-05-06,12:00,Snaprud Mikael, Øysæd Hallvard,CG-C2 041 auditorium (80)
MA-155/Forel/02/Stat - Streaming,2015-05-06,12:15,2015-05-06,14:00,Nyberg Svein O.,CG-C2 036 auditorium (300), CG-C2 041 auditorium (80)
MA-155/Øv/01 DATA,2015-05-06,14:15,2015-05-06,16:00,Nyberg Svein O.,CG-A2 046 klasserom, CG-A2 047 klasserom
DAT219/labøv/04 uke 12-19,2015-05-07,10:15,2015-05-07,12:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
DAT219/labøv/02 uke 2-19,2015-05-07,12:15,2015-05-07,14:00,Auby Christian,CG-A3 021 pc-lab (maskin/data) (28), CG-A3 022 pc-lab (maskin/data) (28)
