Subject,Start Date,Start Time,End Date,End Time,Description,Location
-HI-113 fre,2015-02-27,10:15,2015-02-27,13:00,Dørum Knut, Sætra Gustav Grunde,CK B1 006 aud
-HI-116 for,2015-03-05,10:15,2015-03-05,12:00,Abrahamsen Olav Arild, Leer-Salvesen Paul, Mustad Jan Erik, Aase Andreas,CK 46 118 aula
-HI-116 for,2015-03-05,14:15,2015-03-05,16:00,Abrahamsen Olav Arild, Leer-Salvesen Paul, Mustad Jan Erik, Aase Andreas,CK 46 118 aula
-HI-117 fre,2015-03-06,10:15,2015-03-06,13:00,Abrahamsen Olav Arild, Rinde Harald,CK B1 006 aud
-HI-117 man,2015-03-09,13:15,2015-03-09,16:00,Abrahamsen Olav Arild, Rinde Harald,CK B1 006 aud
-HI-116 for,2015-03-12,10:15,2015-03-12,12:00,Abrahamsen Olav Arild, Leer-Salvesen Paul, Mustad Jan Erik, Aase Andreas,CK 46 118 aula
-HI-116 for,2015-03-12,14:15,2015-03-12,16:00,Abrahamsen Olav Arild, Leer-Salvesen Paul, Mustad Jan Erik, Aase Andreas,CK 46 118 aula
-HI-117 fre,2015-03-13,10:15,2015-03-13,13:00,Abrahamsen Olav Arild, Rinde Harald,CK B1 006 aud
-HI-117 man,2015-03-16,13:15,2015-03-16,16:00,Abrahamsen Olav Arild, Rinde Harald,CK B1 006 aud
-HI-117 ons,2015-03-18,11:15,2015-03-18,14:00,Abrahamsen Olav Arild, Rinde Harald,CK B1 006 aud
-HI-116 for,2015-03-19,10:15,2015-03-19,12:00,Abrahamsen Olav Arild, Leer-Salvesen Paul, Mustad Jan Erik, Aase Andreas,CK 46 118 aula
-HI-116 for,2015-03-19,14:15,2015-03-19,16:00,Abrahamsen Olav Arild, Leer-Salvesen Paul, Mustad Jan Erik, Aase Andreas,CK 46 118 aula
-HI-117 fre,2015-03-20,10:15,2015-03-20,13:00,Abrahamsen Olav Arild, Rinde Harald,CK B1 006 aud
-HI-117 man,2015-03-23,13:15,2015-03-23,16:00,Abrahamsen Olav Arild, Rinde Harald,CK B1 006 aud
-HI-117 ons,2015-03-25,11:15,2015-03-25,14:00,Abrahamsen Olav Arild, Rinde Harald,CK B1 006 aud
-HI-116 for,2015-03-26,10:15,2015-03-26,12:00,Abrahamsen Olav Arild, Leer-Salvesen Paul, Mustad Jan Erik, Aase Andreas,CK 46 118 aula
-HI-116 for,2015-03-26,14:15,2015-03-26,16:00,Abrahamsen Olav Arild, Leer-Salvesen Paul, Mustad Jan Erik, Aase Andreas,CK 46 118 aula
-HI-117 fre,2015-03-27,10:15,2015-03-27,13:00,Abrahamsen Olav Arild, Rinde Harald,CK B1 006 aud
-HI-117 ons,2015-04-08,11:15,2015-04-08,14:00,Abrahamsen Olav Arild, Rinde Harald,CK B1 006 aud
-HI-117 fre,2015-04-10,10:15,2015-04-10,13:00,Abrahamsen Olav Arild, Rinde Harald,CK B1 006 aud
-HI-117 man,2015-04-13,13:15,2015-04-13,16:00,Abrahamsen Olav Arild, Rinde Harald,CK B1 006 aud
-HI-117 ons,2015-04-15,11:15,2015-04-15,14:00,Abrahamsen Olav Arild, Rinde Harald,CK B1 006 aud
-HI-117 fre,2015-04-17,10:15,2015-04-17,13:00,Abrahamsen Olav Arild, Rinde Harald,CK B1 006 aud
-HI-117 man,2015-04-20,13:15,2015-04-20,16:00,Abrahamsen Olav Arild, Rinde Harald,CK B1 006 aud
-HI-117 ons,2015-04-22,11:15,2015-04-22,14:00,Abrahamsen Olav Arild, Rinde Harald,CK B1 006 aud
-HI-117 fre,2015-04-24,10:15,2015-04-24,13:00,Abrahamsen Olav Arild, Rinde Harald,CK B1 006 aud
-HI-117 man,2015-04-27,13:15,2015-04-27,16:00,Abrahamsen Olav Arild, Rinde Harald,CK B1 006 aud
-HI-117 ons,2015-04-29,11:15,2015-04-29,14:00,Abrahamsen Olav Arild, Rinde Harald,CK B1 006 aud
